0.063,2.971,-1.251,-12.192,-1.252,-1.252,3.0375580893,-12.8380137166,-1.2,-256.6,-6.8690934511,280.084907385
0.077,2.965,-1.319,-13.475,1.173,1.173,3.0145200136,-11.7772158403,-8.4,0,-14.2940725625,396.019939967
0.092,2.923,-1.386,-13.475,1.624,1.624,2.9661891619,-9.8429094011,-7.6,1026.6,-24.7342951197,502.653341507
0.106,2.885,-1.428,-8.342,1.712,1.712,2.872455747,-7.0143999279,-22,1155,-38.4841067418,575.68149297
0.12,2.775,-1.441,-2.567,1.748,1.748,2.708670741,-3.6297185464,-44,1026.8,-54.9092978306,599.291298966
0.133,2.555,-1.428,2.567,1.762,1.762,2.4526445234,-0.2181079834,-71,128.2,-72.5037965329,571.19370064
0.144,2.2,-1.412,3.208,1.583,1.583,2.0924628688,2.7913976658,-94,513.4,-89.2030398521,501.052599961
0.152,1.73,-1.383,5.775,1.452,1.452,1.6320394799,5.2134287213,-125.2,256.6,-102.867376358,404.265260071
0.158,1.104,-1.347,7.058,1.27,1.27,1.0922799559,7.0515945285,-129.6,0,-111.774320059,295.450141861
0.16,0.456,-1.312,7.058,1.031,1.031,0.5065352276,8.38220024,-121,513.4,-114.949333147,184.956513246
0.159,-0.149,-1.264,9.625,0.904,0.904,-0.0884222829,9.2567273976,-106.4,0,-112.240580558,78.9262708863
0.155,-0.681,-1.216,9.625,0.699,0.699,-0.6605143223,9.6606689443,-107.4,256.6,-104.168300884,-18.8213553999
0.149,-1.218,-1.161,10.908,0.532,0.532,-1.1851158684,9.5586302012,-88.2,-385,-91.6728817272,-105.316080134
0.14,-1.659,-1.116,8.983,0.252,0.252,-1.6438704863,8.9747409411,-70.4,-256.6,-75.8893666364,-178.368007351
0.13,-2.011,-1.078,7.7,0.003,0.003,-2.0227528222,8.0226547377,-72.4,-385,-58.0059526212,-237.112181184
0.118,-2.373,-1.049,5.775,-0.261,-0.261,-2.3106150194,6.8499721922,-44,-128.4,-39.1821165024,-281.671470426
0.105,-2.593,-1.023,5.133,-0.439,-0.439,-2.5003778988,5.5456009464,-2.2,0,-20.4677729794,-311.473225897
0.092,-2.604,-0.998,5.133,-0.525,-0.525,-2.593030439,4.1053278434,11.6,-385,-2.7052803094,-323.503276286
0.079,-2.546,-0.982,3.208,-0.654,-0.654,-2.598311888,2.4995388692,11.8,-256.6,13.5300418284,-312.468407273
0.066,-2.487,-0.972,1.925,-0.758,-0.758,-2.528722494,0.7813004447,12.4,-641.6,27.8816723449,-273.644668656
0.054,-2.425,-0.979,-1.283,-0.937,-0.937,-2.3932790538,-0.8614357542,34.6,-385,40.0674738735,-207.043959053
0.043,-2.252,-0.995,-3.208,0,0,-2.1980141988,-2.1517624285,59.2,-256.8,49.7387527465,-120.199463873
0.033,-1.956,-1.017,-4.492,0,0,-1.9511001496,-2.8474973335,58.8,128.4,56.4397690239,-27.4348922679
0.025,-1.662,-1.036,-3.85,0,0,-1.6654485444,-2.86740748,51.4,385,59.68902687,54.4066146494
0.018,-1.405,-1.046,-1.925,0,0,-1.3574354539,-2.3313000842,64.6,128.4,59.1431789199,111.624174726
0.013,-1.082,-1.052,-1.283,0,0,-1.0465422284,-1.4893664383,79.6,385,54.785784786,137.851717279
0.009,-0.684,-1.049,0.642,0,0,-0.7561089986,-0.6036782635,50.6,-128.4,47.0679390613,135.036240594
0.008,-0.431,-1.049,0,0,0,-0.5098357265,0.138645595,34.8,256.6,36.9174151786,111.364980558
0.006,-0.257,-1.043,1.283,0,0,-0.324444705,0.6484099425,18.6,0,25.5773366376,77.6220462944
0.006,-0.164,-1.036,1.283,0,0,-0.2051016359,0.9173503225,2.6,-128.2,14.3308891829,43.6332434463
0.005,-0.151,-1.033,0.642,0,0,-0.1463628246,0.9996576107,-3.8,0,4.2376147798,15.9300351511
0.004,-0.17,-1.03,0.642,0,0,-0.1367280066,0.9809977355,-1.6,0,-4.0093328754,-2.902618965
0.003,-0.178,-1.027,0.642,0,0,-0.1640615968,0.9281900773,-3.8,128.2,-10.079692173,-13.4036675992
0.002,-0.197,-1.02,1.283,0,0,-0.2185825234,0.8654093567,-17,-128.2,-13.917548831,-17.7241752445
0.001,-0.282,-1.017,0.642,0,0,-0.2919042677,0.7954984191,-19.4,0,-15.6564193964,-18.3055993813
-0.001,-0.379,-1.014,0.642,0,0,-0.3747945682,0.7249209994,-20.4,0,-15.5834266206,-17.1503957434
-0.003,-0.481,-1.011,0.642,0,0,-0.4570068852,0.6613903414,-17.4,0,-14.1319583444,-15.5599272586
